gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,eia860_status,available,ts_column_name,source,state
generator-348836-2435745699,348836,4WSALEM 1,38.6452,-88.9998,99,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348839-9026173568,348839,4HILLSBENERG_348839,39.14763,-89.4496,5,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348848-6350942778,348848,4BROKAW_348848,40.379212,-88.843405,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348858-6257398082,348858,4GREENBACK_348858,39.849909,-89.299944,2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348878-2556728445,348878,4NORMAL_E_348878,40.537,-89.019,0.2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348885-9780080497,348885,7BUNSONVILLE_348885,39.88821,-87.68593,2,345.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348885-4657162873,348885,7BUNSONVILLE_348885,39.891889,-87.664703,4,345.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348889-9590284959,348889,4SBLOMGTN 1_348889,40.438673,-88.991166,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348889-9739816426,348889,4SBLOMGTN 1_348889,40.434241,-89.062326,5,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348889-4408409822,348889,4SBLOMGTN 1_348889,40.477287,-89.049857,5,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348902-1970889688,348902,4SWCAMPUS_348902,40.12078,-88.17688,1.9,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348902-2344199512,348902,4SWCAMPUS_348902,40.12065,-88.17846,1.9,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348925-9090839548,348925,4WOODHALL,40.935947,-89.287892,35,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348933-6675676476,348933,4ESK TAP_348933,41.257762,-89.211779,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348933-9172774182,348933,4ESK TAP_348933,41.25775,-89.2127,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348934-1475795785,348934,4HENNEPIN N,41.33821,-89.30123,20,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348936-6893478285,348936,4WED_FOXR_348936,41.41779,-88.837544,3.6,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348946-2276100267,348946,4GMON_BVD 1,40.891816,-90.668811,35,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348949-6632344461,348949,5MERCER_348949,41.20946,-90.58643,5,161.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348956-9906717850,348956,4GMON_BVD 5_348956,40.922989,-90.399722,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348956-7245779772,348956,4GMON_BVD 5_348956,40.922989,-90.399722,2,138.0,Operable,true,,EIA_MMWG_FUZZY,IL
generator-348961-9650784867,348961,4S OTTAWA 2_348961,41.332158,-88.884815,3.9,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
generator-348970-3418179769,348970,4ADM_HANS_348970,39.91707,-88.896147,2,138.0,Proposed,true,,EIA_MMWG_FUZZY,IL
